matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,78.95124,100.59357,47.93018,142.52255,-71.37489,123.1947,-12.643086,154.65494,-130.8761,254.41702,-7.9214845,336.39545,130.98636,259.789,682998,622250,0
1,74.587425,102.11276,33.50778,149.39449,-73.8563,120.25154,-24.063513,152.40182,-138.3875,249.42754,-18.449532,334.33838,130.08017,271.58932,677950,622250,0
2,67.396904,103.46318,27.136686,151.54175,-72.742485,121.60263,-33.63014,149.34827,-128.01555,266.67023,5.4339223,339.16162,142.9939,259.58798,666971,622250,1
3,73.22894,102.47364,40.20737,146.57187,-65.74622,129.0743,-16.988636,153.96863,-138.16782,252.2068,-7.150512,333.4805,128.07379,260.88037,682998,547973,0
4,75.497154,101.84219,43.169495,145.12503,-68.28497,126.54668,-13.26908,154.56876,-140.20572,252.4858,-6.90485,338.48343,131.71237,256.397,677950,543135,0
5,77.50879,101.158745,45.352222,143.9756,-67.322464,127.527504,-11.015563,154.85919,-135.11203,260.23196,-2.08872,338.462,131.66335,258.36075,682998,543135,0
6,64.57391,103.6291,25.397785,152.04208,-74.09975,119.94937,-33.42404,149.426,-135.47197,270.6356,5.6333985,336.2718,127.60966,256.32135,446334,543135,1
7,68.330826,103.364,27.013443,151.5784,-71.99772,122.478455,-27.834757,151.33075,-129.27658,264.53854,10.279119,334.02884,134.66487,248.83357,666971,543135,1
8,78.022644,100.96478,47.672474,142.67259,-67.32627,127.523674,-10.550392,154.91234,-141.89182,249.71542,-18.978884,331.74185,119.58417,261.34805,677950,608717,0
9,71.04517,102.94855,33.547134,149.37964,-70.52265,124.15184,-23.305227,152.59705,-139.31332,252.62811,-9.797616,330.86203,132.08606,260.80002,682998,656271,0
10,68.35065,103.36165,22.297398,152.84622,-75.52793,118.124054,-39.94915,146.69202,-134.68446,281.63358,8.56063,338.70038,136.68153,256.1883,606466,656271,1
11,71.29049,102.90156,24.335981,152.33006,-74.78539,119.08452,-35.95918,148.43144,-130.66833,262.81223,-8.144029,334.014,122.6066,255.03801,672695,674003,1
12,64.01177,103.638275,17.748562,153.82733,-75.1726,118.58684,-38.087276,147.53079,-134.93285,269.27127,0.77525556,341.48373,125.61629,263.0236,656896,674003,1
13,65.839066,103.579506,14.634384,154.36604,-76.5766,116.72299,-38.46751,147.3634,-138.49753,253.94832,1.1057208,334.21887,130.25974,254.00027,572233,641540,1
14,68.870995,103.29648,26.956936,151.59514,-73.593575,120.57484,-30.277302,150.54602,-138.85785,262.13177,9.507266,329.43246,139.69287,250.76102,672515,641540,1
15,72.834625,102.56889,31.46079,150.13937,-75.57812,118.05821,-33.395203,149.43683,-132.8884,266.4454,-2.1873336,334.35107,136.59091,259.15704,656896,571760,1
16,67.799255,103.42317,24.14589,152.38022,-77.16553,115.91193,-32.86231,149.63512,-146.6697,263.08713,-5.297979,347.79614,129.20505,257.38867,606466,571760,1
17,68.07534,103.39334,29.26231,150.88095,-73.256546,120.98536,-27.626575,151.39429,-122.1124,253.14006,2.4678764,322.35333,125.99219,243.2282,672695,571760,1
18,60.82274,103.540665,21.525785,153.02913,-75.01011,118.79651,-32.590034,149.73502,-141.18225,268.8144,0.3245656,338.6062,132.43056,255.8706,666971,571760,1
19,69.83029,103.1581,26.143913,151.83179,-75.615814,118.00868,-32.44022,149.7896,-139.9575,266.5514,3.1297936,337.81583,138.0441,260.42062,502054,571760,1
20,69.801994,103.16252,30.299406,150.53857,-77.113625,115.98413,-35.1821,148.74524,-134.37927,264.42664,3.600049,341.5182,128.77821,255.71326,572233,571760,1
21,72.945755,102.54248,34.96614,148.83102,-69.236786,125.5482,-17.11607,153.94539,-124.55249,273.74423,11.824787,334.58505,140.74309,252.17068,672515,600917,1
22,64.85173,103.62164,27.215176,151.51831,-77.05946,116.059326,-33.77272,149.29416,-129.7238,269.63266,10.437027,335.93076,139.85234,253.7501,656896,547973,1
23,67.83033,103.4199,25.148775,152.11081,-69.04658,125.75007,-28.105173,151.24745,-121.00035,265.6443,20.284716,338.54587,144.5613,255.11575,502054,622250,1
24,67.36125,103.466515,27.481634,151.43822,-72.60402,121.76709,-27.33112,151.48357,-124.15035,271.0951,15.920652,342.45877,137.75743,255.0695,572233,622250,1
25,77.84728,101.03189,42.140537,145.64209,-69.11028,125.68259,-19.47676,153.48203,-132.63736,252.56845,-3.0939615,336.1345,140.45819,255.29407,606466,592351,0
26,68.01873,103.39961,25.037115,152.14139,-73.94155,120.14603,-32.105083,149.91064,-133.9952,263.7924,-1.5346624,340.67624,136.31445,258.5577,446334,592351,1
27,75.57187,101.818924,40.70232,146.33893,-65.180244,129.61249,-14.93457,154.31876,-141.14336,256.85495,-6.7490115,334.07425,126.36613,267.4832,677950,592351,0
28,67.35947,103.46669,30.386158,150.50934,-71.08841,123.51935,-27.669783,151.38115,-131.7447,265.6406,6.1307817,335.99445,133.30522,248.05424,666971,592351,1
29,70.597855,103.030205,29.603695,150.76971,-70.47331,124.20645,-24.117851,152.38759,-124.61931,267.6399,7.773083,328.54053,137.74248,254.71472,502054,592351,1
30,71.767525,102.80559,35.881073,148.46333,-70.10699,124.609375,-20.092484,153.35092,-130.12349,269.6099,13.583541,342.4142,135.84685,254.35823,572233,592351,1
31,78.290215,100.86058,49.16577,141.78793,-73.047104,121.23814,-13.666727,154.51181,-120.59635,251.10208,12.047445,324.49316,150.27133,239.59276,672695,453286,0
32,63.63204,103.64,24.541388,152.27539,-73.61887,120.54383,-27.793697,151.34332,-134.1077,267.99606,6.2264266,331.37793,137.86624,249.8658,572233,453286,1
33,73.435745,102.42199,35.979122,148.42328,-64.92993,129.84772,-18.041895,153.77106,-136.94594,252.88574,-1.7330791,337.2237,134.49779,255.98488,682998,453286,0
34,64.942894,103.618774,25.329386,152.06104,-76.081696,117.39092,-34.055668,149.18604,-145.49388,261.53885,2.0699496,334.25507,134.83856,254.9716,572233,527048,1
35,66.45419,103.54088,27.852097,151.32544,-71.63286,122.899796,-28.299225,151.18712,-129.17647,263.08057,13.180973,341.16638,139.29517,254.52881,502054,608717,1
36,73.9828,102.27969,40.76938,146.3071,-66.4648,128.37805,-16.649157,154.0297,-135.87817,258.65155,-6.401997,337.34482,123.6234,263.4122,677950,656756,0
37,69.28584,103.23955,30.342424,150.5241,-72.832146,121.49573,-30.009306,150.63568,-133.26306,266.08264,1.894028,339.75543,135.59106,255.7011,502054,656756,1
38,61.895485,103.601944,15.095096,154.29306,-78.657616,113.77269,-37.26709,147.88515,-135.55705,262.1536,-0.4940992,341.92484,141.88551,257.95026,572233,656756,1
39,70.15156,103.106445,31.87351,149.99347,-74.15216,119.88399,-28.918196,150.99164,-128.34433,263.82077,3.9237838,339.64316,131.6525,259.24234,672515,656756,1
40,69.721054,103.175064,26.153019,151.82918,-74.79326,119.07447,-29.00997,150.96227,-131.14638,258.75522,5.7267137,332.0629,124.43448,253.27641,672695,656756,1
41,66.497345,103.5378,21.750616,152.97653,-76.062775,117.4162,-35.817184,148.48938,-138.70625,268.23453,-5.0361304,340.0997,129.9062,253.87895,446334,656756,1
42,76.385475,101.55507,45.932137,143.65791,-70.37969,124.30987,-18.029493,153.77345,-134.46867,249.80272,-2.9851897,326.8545,128.9923,263.42944,682998,656756,0
43,67.64978,103.43851,15.924849,154.15575,-79.260376,112.87169,-46.558422,143.3089,-140.17538,266.1405,-7.6176023,346.73407,124.62055,267.47778,606466,656756,1
44,74.07911,102.2538,36.18864,148.33725,-74.4123,119.55769,-25.905748,151.89963,-133.05774,252.21414,-14.680172,333.76596,124.96938,267.05667,677950,600917,0
45,64.61918,103.628006,27.173662,151.53072,-71.54781,122.997284,-25.921442,151.89517,-127.013954,267.172,15.082324,332.80255,135.79887,247.86899,502054,600917,1
46,70.89965,102.97571,29.478134,150.81079,-75.05642,118.73688,-26.933294,151.60213,-137.01466,263.18457,1.7006555,332.27734,136.83554,253.08725,572233,600917,1
47,76.64142,101.46806,45.693428,143.78932,-65.43327,129.37299,-10.387076,154.93045,-125.438835,250.65865,-4.337108,326.48224,133.2212,256.3329,606466,600917,0
48,77.46286,101.1757,49.804394,141.39822,-60.136215,134.04343,-4.9892745,155.3689,-139.45354,247.95734,-1.7112876,332.32806,125.98753,262.38745,682998,519293,0
49,66.65918,103.525894,26.917934,151.60666,-77.00499,116.13481,-35.02863,148.80626,-132.72292,259.88788,-6.918803,323.86685,127.03262,244.42078,672695,519293,1
50,72.86137,102.56256,38.632465,147.29016,-67.16866,127.681625,-19.722727,153.43016,-126.114655,264.46487,1.4449551,335.8696,135.63622,248.98244,672515,592351,1
51,66.128746,103.5625,17.201824,153.92964,-76.169235,117.27366,-35.449844,148.638,-140.80519,267.51224,2.6720505,339.92825,126.09688,248.44354,606466,674003,1
52,77.450066,101.180405,46.24788,143.48273,-66.88054,127.96846,-9.568249,155.01692,-137.22081,260.56152,1.478725,329.6224,133.2021,259.49292,682998,674003,0
53,78.138054,100.920105,50.439514,141.00375,-64.13233,130.58598,-6.6552925,155.2666,-130.92143,257.67725,8.882622,335.97232,134.59497,254.7774,677950,641540,0
54,63.662403,103.639984,16.517315,154.05307,-75.45101,118.22474,-36.330082,148.27884,-131.67604,266.656,10.364689,335.2211,128.74957,251.15831,666971,641540,1
55,76.66636,101.45949,46.863754,143.13647,-67.63872,127.20835,-16.594648,154.0394,-121.99048,245.87775,2.5274422,322.34207,131.6339,251.92073,672695,543135,0
56,78.83653,100.640884,42.23971,145.59293,-68.24962,126.583206,-19.293728,153.52017,-124.69023,269.76883,-0.47151002,331.84265,135.97421,256.90985,606466,543135,0
57,74.689575,102.08356,41.339127,146.03406,-70.14418,124.568665,-16.918224,153.98141,-135.5677,264.26868,-5.928415,327.5264,134.14235,253.57826,663656,547973,0
58,73.672226,102.361496,43.486088,144.96277,-65.72434,129.09528,-12.0946245,154.72696,-124.929924,249.54294,-3.813709,329.07666,123.189644,258.51022,488726,547973,0
59,63.764328,103.63979,25.58933,151.98872,-74.23199,119.784164,-32.215317,149.87099,-130.8559,271.86093,10.005612,334.92914,130.38745,249.18936,608324,622250,1
60,63.931152,103.63893,14.704286,154.35513,-80.07197,111.62221,-43.97212,144.71077,-126.59057,264.7755,-0.43160075,338.42697,135.13965,255.15575,514888,622250,1
61,71.256546,102.90816,32.93237,149.60925,-71.53312,123.0141,-26.059137,151.85602,-127.83955,269.45712,11.215036,343.85025,146.05353,255.91238,673237,622250,1
62,69.44448,103.21661,28.50897,151.1214,-73.720345,120.41921,-32.14907,149.89484,-123.481834,269.1062,8.199664,339.22058,142.1677,251.6988,665161,622250,1
63,67.265175,103.47539,24.827528,152.1984,-72.8609,121.46137,-33.2689,149.48416,-124.44282,265.8984,16.754179,330.18106,141.94383,248.86577,676801,622250,1
64,75.78103,101.75293,34.94947,148.83762,-72.156525,122.293495,-28.45876,151.13718,-135.59233,256.81845,-11.138261,335.08133,138.45053,259.6919,663656,622250,0
65,73.64756,102.367874,39.775043,146.77252,-66.29728,128.54169,-17.55782,153.86339,-134.69618,269.0507,-5.088191,343.2362,129.03413,260.04742,670541,656756,0
66,66.69728,103.522995,15.6524935,154.20166,-76.93697,116.228836,-41.89169,145.7648,-144.97224,261.86572,-6.8710165,329.28397,132.22702,252.4696,608324,656756,1
67,66.79226,103.515594,28.600616,151.09253,-74.67288,119.22785,-31.389832,150.16425,-134.3522,264.05484,3.5212114,331.59827,131.04745,250.13841,676801,656756,1
68,78.11819,100.927826,51.307297,140.45349,-68.12136,126.71541,-5.0447836,155.36597,-139.54782,261.5669,-8.361122,348.16382,133.70647,268.99722,670541,453286,0
69,59.468967,103.421936,14.564821,154.37686,-78.68444,113.73306,-46.23065,143.49234,-133.60869,257.08078,-7.473177,333.2526,127.334305,246.31415,514888,453286,1
70,77.83872,101.03514,41.829636,145.79526,-70.09481,124.62268,-19.273554,153.52435,-128.88898,259.9003,-0.8702581,336.54355,146.85535,254.24162,663656,453286,0
71,73.832855,102.31953,33.988777,149.21169,-72.44784,121.95169,-23.759026,152.48102,-134.34657,243.49,-2.9424496,323.1485,131.74553,260.23315,488726,571760,0
72,62.059288,103.60875,13.083454,154.59476,-78.61801,113.831116,-45.31997,143.99312,-144.39407,258.8512,-9.298837,335.85815,125.93943,251.52213,514888,571760,1
73,69.63569,103.188095,32.977142,149.59268,-76.33048,117.05668,-26.351498,151.77213,-140.7511,272.72778,9.828705,346.85532,140.17108,251.9803,673237,571760,1
74,68.094185,103.39122,23.39506,152.57426,-76.69668,116.559074,-36.43625,148.23483,-124.725235,257.91125,0.2317286,328.48923,120.2937,248.66656,514888,543135,1
75,68.44439,103.35042,25.789667,151.93245,-75.208694,118.5401,-34.961666,148.8328,-136.17235,261.2963,-4.2508445,335.19153,133.61842,257.83325,455117,543135,1
76,78.38041,100.82495,37.549694,147.76408,-64.896164,129.8793,-16.02472,154.1387,-138.61414,264.57806,-4.8264832,354.57,132.4699,266.52713,670541,543135,0
77,68.03404,103.39791,26.129383,151.83594,-75.812996,117.7485,-33.611588,149.35529,-129.37733,262.56485,-2.3596644,330.2967,132.97844,258.43652,665161,543135,1
78,69.2954,103.23819,28.679058,151.06772,-71.98671,122.49124,-28.780376,151.03558,-124.22695,261.26135,10.565555,332.13773,140.5918,250.40323,643289,543135,1
79,78.565346,100.7511,47.142414,142.97784,-67.03147,127.81852,-8.065686,155.15698,-134.92674,261.86053,-6.9463067,341.32593,143.9241,257.14444,663656,543135,0
80,63.766216,103.6398,28.584324,151.09766,-74.69965,119.1938,-29.404335,150.83485,-130.24173,273.34024,9.542164,336.22266,132.11201,251.85007,608324,600917,1
81,71.01648,102.953964,40.00831,146.66458,-69.92261,124.81042,-13.55907,154.5274,-129.3183,272.04532,2.5734272,330.82956,132.30214,249.73521,643289,600917,1
82,69.28069,103.24028,32.389713,149.80792,-70.00058,124.72553,-22.08202,152.89796,-130.82376,264.9297,4.2780437,336.1513,131.32666,258.01355,673237,600917,1
83,69.93401,103.14171,31.998817,149.94873,-73.8974,120.200714,-31.210215,150.22693,-132.5814,258.04382,15.346156,337.59335,148.44649,254.85355,547989,547973,1
84,74.64362,102.096725,43.19637,145.11131,-67.63481,127.2123,-18.517273,153.67784,-129.37056,260.89648,-3.908443,334.9505,130.94788,258.67392,663656,656756,0
85,65.63586,103.59018,24.37649,152.3193,-73.67501,120.47494,-30.765594,150.38036,-133.93001,263.76093,10.394399,332.79324,134.16518,250.71222,643289,656756,1
86,70.46873,103.052795,26.113226,151.84058,-77.48226,115.46817,-37.194607,147.91602,-139.26068,272.27536,3.596352,333.46582,124.063065,251.48964,514888,656756,1
87,67.24811,103.47693,26.61006,151.69707,-77.75494,115.08177,-35.531048,148.6053,-139.9086,256.56683,-3.7875872,336.27545,131.60234,245.6263,455117,656756,1
88,66.233,103.55586,23.303171,152.59756,-72.75575,121.58683,-28.152435,151.23279,-139.03918,262.25558,-8.092366,332.51285,131.79889,256.79538,665161,656756,1
89,69.071945,103.269455,22.127245,152.88715,-76.92415,116.24654,-36.81025,148.07857,-142.76627,258.86307,-1.3061476,329.2975,125.21692,246.42563,455117,527048,1
90,65.20092,103.60953,20.568668,153.24658,-75.31523,118.40178,-34.81396,148.89111,-131.02307,264.99225,1.3601353,329.69247,139.54105,247.98904,665161,527048,1
91,65.58144,103.59285,16.014349,154.14049,-75.42502,118.25869,-36.513897,148.20255,-133.99864,253.10019,-0.08186565,331.3992,125.72248,251.0364,676801,527048,1
92,64.42385,103.63231,13.128204,154.58853,-77.00974,116.128235,-40.9409,146.22539,-144.48172,250.15823,-1.5085286,334.4169,128.45943,252.35225,514888,527048,1
93,62.46152,103.622635,24.966501,152.16064,-74.4669,119.488815,-33.201073,149.50949,-130.8085,264.67316,5.8276205,339.15265,136.09308,252.13286,643289,608717,1
94,66.61056,103.52954,16.526283,154.05148,-77.57534,115.33673,-41.66707,145.87479,-140.25131,267.69138,-4.1910324,335.27927,127.536476,262.11282,514888,608717,1
95,66.64659,103.52684,18.610304,153.6593,-73.74367,120.3905,-34.708904,148.93242,-132.63466,270.4873,1.3345152,341.98663,134.18724,256.50928,676801,608717,1
96,77.55354,101.14218,46.303616,143.45164,-66.52303,128.32098,-12.759201,154.63928,-132.03133,261.97803,-6.3574867,336.11218,137.01318,265.8439,663656,674003,0
97,65.01048,103.61651,23.478235,152.5531,-76.74802,116.48877,-36.891285,148.04446,-133.99815,260.35852,1.617152,333.1079,134.64337,254.02518,676801,641540,1
98,79.82568,100.21901,43.31501,145.05063,-66.725395,128.12189,-17.8481,153.80833,-123.79963,260.8594,3.0812032,335.96332,139.46725,251.86472,663656,641540,0
99,64.55242,103.62959,24.284405,152.34372,-74.97363,118.84343,-34.241196,149.11456,-142.35355,262.00784,-5.775159,331.53375,126.286316,257.2209,514888,641540,1
100,76.85771,101.393036,48.53683,142.16502,-63.061726,131.55083,-5.695855,155.3291,-132.35687,259.6742,-13.112061,345.32538,126.22504,262.14526,670541,527048,0
101,63.63588,103.64,16.773983,154.0074,-78.56687,113.90643,-37.47851,147.79468,-139.9241,262.63806,-3.6067069,330.9568,120.471924,257.44952,608324,527048,1
102,67.576546,103.445816,21.164806,153.11237,-76.7435,116.494965,-40.326317,146.5162,-132.75957,267.23483,-3.417419,333.26053,131.62675,257.2594,455117,608717,1
103,64.24155,103.635475,15.03303,154.30302,-77.27114,115.76456,-36.909847,148.03665,-134.42728,259.9943,-3.5286176,338.72162,126.42005,261.58377,665161,608717,1
104,67.950745,103.40704,29.700657,150.73785,-73.315384,120.91403,-30.52474,150.46243,-128.5826,269.3086,0.7298713,335.74133,130.89583,260.30603,547989,608717,1
105,73.71438,102.350555,41.33497,146.03607,-71.102264,123.50371,-21.345387,153.07092,-138.91176,260.96228,-14.007546,340.65927,129.56693,267.15118,670541,674003,0
106,61.192043,103.56502,13.545541,154.52936,-77.44778,115.516754,-45.79616,143.73288,-142.72696,260.14188,-5.9249883,337.27075,125.58042,254.44295,608324,674003,1
107,71.24128,102.91111,39.599712,146.85312,-67.49361,127.35516,-13.884374,154.47992,-132.3264,254.18117,-5.309993,329.3427,132.00621,261.8453,488726,674003,0
108,60.22606,103.49405,14.219804,154.42975,-79.517876,112.47989,-47.232838,142.92609,-147.49245,257.55267,-8.012465,332.5494,123.83867,256.40863,514888,674003,1
109,71.23776,102.91179,25.281347,152.07431,-76.843346,116.35785,-37.519505,147.77707,-133.77867,275.08478,7.64296,343.49323,136.3064,259.19043,547989,453286,1
110,65.391464,103.60164,26.953348,151.59619,-75.49751,118.16391,-34.03463,149.19409,-136.05635,258.62793,-0.15323837,334.89,131.51926,255.64554,608324,453286,1
111,77.21021,101.26778,41.67688,145.87,-71.96207,122.51984,-17.945835,153.78958,-130.76138,257.68427,-1.553901,330.99594,132.73471,254.33624,488726,453286,0
112,61.034054,103.55502,17.043823,153.95859,-75.70469,117.89164,-35.58306,148.58432,-146.13483,259.15042,-3.9299939,330.79498,130.03651,249.41402,514888,600917,1
113,65.62406,103.59075,29.797884,150.7058,-72.32609,122.09494,-24.812454,152.20247,-135.4292,268.91046,10.605594,324.9606,133.41586,248.08221,665161,600917,1
114,69.02679,103.27562,20.925154,153.16681,-76.48112,116.852806,-36.39088,148.25366,-142.72504,255.45546,0.38001832,334.33215,130.66524,254.50488,608324,547973,1
115,76.63899,101.4689,39.56223,146.8703,-67.64123,127.2058,-17.178331,153.93396,-124.413605,258.73053,-0.4922205,333.2827,130.14532,256.3504,488726,543135,0
116,60.981655,103.55156,19.336864,153.51122,-72.881714,121.43649,-29.59591,150.77228,-133.2392,257.36075,4.737022,335.13358,131.61925,252.7905,676801,543135,1
117,66.48743,103.53851,26.712566,151.66708,-71.87173,122.62451,-26.283197,151.79181,-125.39667,279.4909,13.543934,337.067,144.34157,252.61093,547989,543135,1
118,64.56206,103.62937,26.145348,151.83138,-73.7798,120.34598,-29.944035,150.65738,-140.75294,261.95834,-0.6711381,327.61597,134.2492,250.42854,608324,543135,1
119,75.74376,101.764786,41.918312,145.75171,-68.27618,126.55576,-16.971611,153.97174,-143.89209,250.71973,-6.466557,330.68692,144.12695,251.83029,663656,600917,0
120,70.835724,102.98744,31.117947,150.25897,-71.34581,123.2278,-26.341433,151.77502,-128.38553,270.1149,7.3799987,344.96616,136.47089,253.5232,547989,600917,1
121,73.25515,102.46716,39.206753,147.03226,-67.50074,127.34797,-18.792126,153.6228,-142.62877,258.4498,-11.268671,336.79367,125.35103,269.70624,670541,547973,0
122,67.1163,103.488655,28.75921,151.0423,-73.57779,120.59417,-28.62831,151.08377,-136.18803,269.03564,-3.6378582,342.55008,136.8018,259.3526,547989,656756,1
123,76.929695,101.36775,40.98221,146.20566,-69.15393,125.63628,-15.44397,154.23624,-125.90401,250.28452,-2.9962819,324.6741,142.00075,248.54001,656775,600917,0
124,67.68006,103.435455,22.487873,152.80002,-73.75325,120.37869,-31.551596,150.10745,-134.6958,264.708,1.9977684,331.18176,131.15726,250.16121,669720,600917,1
125,71.5948,102.841034,39.506775,146.89569,-69.94866,124.782074,-19.820261,153.4094,-133.7034,260.69614,-8.522245,338.53473,127.08615,270.0253,683002,547973,0
126,78.45667,100.794624,49.97651,141.292,-64.01705,130.69128,-2.8195865,155.45815,-130.58084,256.27216,4.5724273,333.47867,142.03123,254.88715,656775,543135,0
127,76.562996,101.494934,44.718533,144.31677,-65.995026,128.8349,-14.149043,154.44043,-135.86243,258.3198,-9.107695,343.20084,138.91508,263.58725,656811,543135,0
128,71.47816,102.86452,39.74663,146.78561,-69.931305,124.80095,-17.42162,153.88892,-127.02825,271.34183,15.581603,342.95563,139.37216,254.21637,663624,543135,1
129,74.941765,102.01017,37.0883,147.96118,-71.26164,123.323395,-19.480843,153.48117,-128.95213,270.2203,2.0530534,339.9499,145.42906,258.1668,623993,543135,0
130,71.95878,102.76541,38.842686,147.19629,-71.29498,123.28555,-18.595545,153.66226,-131.01328,269.1568,8.666474,335.57275,137.2975,256.45163,676059,543135,1
131,80.73911,99.80103,51.345196,140.42917,-61.913517,132.55356,-1.8142904,155.48267,-143.6768,265.2892,-3.4954507,347.4614,133.78877,266.21942,683002,543135,0
132,78.6393,100.72127,46.92663,143.1008,-69.30725,125.473114,-9.886251,154.98419,-124.63956,248.9267,-1.234873,323.49063,133.59666,259.8013,624428,543135,0
133,66.43544,103.54219,28.039534,151.26776,-73.6153,120.5482,-30.3777,150.51219,-133.29391,265.4332,-2.3358912,338.0867,129.35458,259.67267,669720,543135,1
134,74.07706,102.25435,38.858932,147.189,-72.00578,122.469086,-23.037233,152.66444,-139.53241,255.51062,-11.47118,329.9887,134.26595,257.96735,656811,600917,0
135,66.793365,103.5155,18.580101,153.66534,-74.43746,119.52597,-35.858437,148.47256,-139.15855,275.07068,12.131879,339.77853,144.55052,254.5333,623993,656271,1
136,68.93527,103.28795,30.755306,150.38388,-72.31766,122.10484,-25.546772,152.00061,-133.62238,268.23245,2.399229,329.9105,132.27797,252.3376,622761,674003,1
137,75.404816,101.87073,36.861732,148.05692,-72.87519,121.444305,-20.320248,153.30133,-124.86003,255.68037,3.9508052,333.74182,137.62393,257.34702,656775,674003,0
138,69.86419,103.15277,25.21158,152.09354,-75.54025,118.107895,-32.63635,149.71811,-130.84776,273.44763,8.8439045,341.81906,139.34697,245.41727,543305,674003,1
139,68.65271,103.32466,30.227634,150.56271,-75.23727,118.50306,-31.33119,150.18475,-141.58942,264.5848,0.47480473,329.66113,133.10693,250.8268,669720,656756,1
140,64.80619,103.622986,16.070196,154.13092,-76.02733,117.46355,-38.324375,147.42665,-137.43556,270.43372,6.7666597,327.34125,132.71948,251.87009,676059,656756,1
141,68.750305,103.31221,32.86007,149.63594,-73.85098,120.25812,-23.455276,152.55896,-146.9194,273.671,-10.275583,333.58908,134.0949,259.72906,623993,656756,1
142,66.27808,103.5529,26.657604,151.68318,-74.07693,119.9778,-31.835815,150.00687,-135.21426,266.1904,-1.680404,328.5131,128.70265,246.91232,622761,656756,1
143,67.68386,103.43507,25.252476,152.08228,-74.61335,119.303474,-31.674082,150.06424,-141.67471,259.37036,-8.470659,340.46555,135.44829,261.68726,663624,656756,1
144,64.282906,103.63483,27.48831,151.4362,-75.94905,117.56788,-35.0946,148.78006,-135.239,265.932,2.2796192,331.44873,126.85551,247.20358,668939,656756,1
145,73.4474,102.419044,33.63868,149.34503,-71.41356,123.15065,-20.113642,153.34633,-128.96365,237.73491,-3.0456476,320.51993,124.73813,246.67535,624428,600917,0
146,74.19126,102.2233,32.37584,149.81296,-68.0774,126.760605,-22.035686,152.90903,-134.53067,265.54562,-7.909638,338.7494,127.60198,263.1277,683002,600917,0
147,68.721146,103.31596,33.692722,149.32455,-73.05851,121.22441,-26.758045,151.65375,-132.0843,268.64172,2.9343662,337.35913,131.74115,259.83746,663624,641540,1
148,64.57399,103.62909,18.269648,153.72672,-76.07159,117.404434,-38.284622,147.44415,-129.49103,257.20535,-0.5753397,333.21948,127.34523,257.6057,602104,641540,1
149,76.66009,101.46165,46.04214,143.59706,-68.28374,126.54796,-12.298826,154.70053,-124.030334,262.05267,4.747784,332.97375,138.33856,260.17978,656775,641540,0
150,67.80027,103.423065,25.313742,152.06535,-78.05715,114.648705,-33.430756,149.42348,-137.7532,265.88776,1.8197311,333.34335,137.69624,248.96413,668939,571760,1
151,72.05004,102.745895,24.041828,152.4075,-77.180855,115.89058,-36.899845,148.04086,-132.36557,272.2687,3.9521315,337.50085,138.85582,255.50952,669720,571760,1
152,65.987076,103.57107,33.698273,149.32245,-72.307816,122.116394,-24.06956,152.40024,-136.84927,272.18063,2.9313295,344.9374,140.81126,255.40128,602104,571760,1
153,74.66293,102.0912,39.243366,147.01566,-71.2636,123.32117,-18.862518,153.60857,-123.72844,246.41815,1.247409,329.38925,129.27512,255.66353,656775,571760,0
154,67.98449,103.40336,18.4091,153.69928,-76.48317,116.85003,-37.084766,147.96268,-138.45522,272.66647,0.7814259,337.72897,139.51715,250.65245,676059,571760,1
155,70.960396,102.96444,35.455414,148.63577,-74.585884,119.3383,-21.947712,152.92996,-134.54092,277.8443,1.4621537,346.65634,139.12242,254.06728,543305,571760,1
156,64.758766,103.624344,23.644337,152.51057,-78.06181,114.641975,-34.43696,149.03867,-136.35893,271.05127,2.8552296,350.14322,135.21503,252.21422,623993,571760,1
157,65.64682,103.58963,24.842672,152.19427,-74.337036,119.6524,-31.308369,150.19273,-125.632965,267.23438,11.252517,338.95697,136.72087,253.01523,623912,600917,1
158,63.50002,103.639755,23.255468,152.60962,-72.5965,121.77602,-31.299303,150.19589,-131.51767,276.04117,15.415205,337.34796,138.98991,256.8148,668227,622250,1
159,73.651405,102.36688,38.474636,147.36024,-68.97025,125.830734,-16.076515,154.12982,-121.43212,261.69284,18.080553,337.0624,144.23512,254.19955,650490,622250,1
160,75.8911,101.71769,44.151318,144.61694,-68.57539,126.24508,-11.602532,154.78882,-140.8557,254.92905,-14.358914,337.7041,131.1355,258.47406,666139,543135,0
161,71.47108,102.86594,36.28731,148.29654,-70.748184,123.90107,-21.259682,153.09064,-129.00078,263.41232,-1.4656014,339.0612,138.74313,249.47784,623912,543135,1
162,71.839035,102.79067,30.272718,150.54755,-72.62993,121.736374,-30.351614,150.521,-139.0756,263.90497,3.0486321,340.19897,138.48103,254.18716,668227,543135,1
163,72.1366,102.72719,36.03426,148.4007,-70.26328,124.43803,-25.449821,152.02762,-127.16962,264.601,14.775498,334.17844,144.82437,245.57246,650490,543135,1
164,69.68087,103.18121,33.493557,149.39984,-71.60681,122.92967,-20.162142,153.33582,-130.88397,263.98395,7.3348055,336.70068,137.02861,243.96413,622534,543135,1
165,62.71146,103.62922,17.44892,153.8838,-75.94026,117.57957,-42.665024,145.38048,-139.71523,260.103,-8.329855,327.09195,120.15279,253.00299,670623,600917,1
