matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,79.198685,100.49007,45.894146,143.6789,-70.260635,124.44093,-13.202537,154.57812,-135.65733,260.75876,-15.892974,338.0652,130.72664,268.74887,676761,641427,0
1,74.26993,102.2017,42.822567,145.30112,-68.08179,126.756096,-15.178139,154.27966,-131.00725,257.4358,-11.505836,333.04276,127.28383,262.86618,680700,641427,0
2,66.87214,103.5092,25.157028,152.10854,-75.33418,118.37712,-32.54697,149.75073,-131.2148,267.3348,1.7474546,337.2075,135.6403,256.7723,663609,641427,1
3,67.86963,103.41574,21.520422,153.03038,-73.202095,121.05124,-32.974895,149.59352,-123.68121,273.93018,6.254843,334.4724,140.6312,248.66344,691023,641427,1
4,73.38143,102.43567,20.49873,153.26207,-76.88706,116.29767,-38.712906,147.2543,-137.606,246.34201,-11.116054,339.18533,134.80083,253.98338,669242,622065,1
5,66.60987,103.529594,18.247063,153.73114,-79.315796,112.78771,-43.017456,145.20241,-126.92155,266.9609,7.249918,332.7667,133.16936,248.24214,691026,622065,1
6,68.31353,103.36604,34.324554,149.0823,-69.72975,125.01947,-22.048162,152.90605,-135.23016,265.38867,10.369952,340.13754,136.04538,251.07732,691023,668881,1
7,78.4068,100.81447,47.149197,142.97395,-67.27864,127.57149,-13.837565,154.48682,-134.96413,252.97122,-7.8438582,328.84048,131.40291,254.96909,669242,668881,0
8,72.42287,102.66385,39.567734,146.8678,-67.437164,127.4121,-18.020918,153.77512,-121.10884,268.60385,13.940773,330.70612,140.14523,243.11537,691026,668881,1
9,74.23264,102.21196,35.787117,148.5016,-72.411255,121.994804,-26.2575,151.7992,-128.42508,250.27141,-4.564674,329.61353,135.18727,253.06041,680700,668881,0
10,77.20026,101.271355,43.448757,144.982,-70.86919,123.76578,-16.934242,153.97852,-141.74512,262.448,-4.418933,337.5429,131.30704,263.6005,663457,668881,0
11,78.032715,100.96091,47.700672,142.65622,-64.64239,130.11581,-7.3613243,155.21436,-135.86792,258.71402,-10.307518,342.52344,135.52086,260.6831,663457,664139,0
12,66.33885,103.54884,19.813034,153.41095,-76.16447,117.28006,-38.471184,147.36179,-138.3,261.09595,-6.78582,334.95618,120.922806,260.8217,660766,664139,1
13,78.17663,100.905075,48.41373,142.23807,-70.147995,124.56448,-14.71912,154.3528,-124.159546,247.96538,3.1237693,320.70084,135.13733,246.14723,669242,608371,0
14,70.0828,103.117714,34.934624,148.84349,-68.92105,125.88264,-22.57748,152.77815,-124.663185,266.8458,7.1039767,334.18396,138.2674,252.62874,691026,608371,1
15,69.45256,103.21542,33.253803,149.4898,-72.67795,121.679375,-24.858545,152.18997,-130.66882,258.731,-1.1103574,328.80487,136.40598,258.83075,691023,594580,1
16,72.66769,102.60794,38.09048,147.52939,-70.86499,123.77049,-19.870657,153.39865,-120.8093,257.42233,10.100409,320.06732,137.9071,258.09814,669242,594902,0
17,71.202385,102.918625,29.398169,150.83685,-74.41727,119.55142,-25.556816,151.9978,-127.23739,264.86194,4.4511895,336.82764,132.51141,256.90103,691026,594902,1
18,77.816956,101.043396,43.481476,144.96515,-66.74117,128.10632,-16.806923,154.0015,-126.174706,250.6937,7.4383736,326.50754,143.01228,250.93715,680700,594902,0
19,67.96323,103.405685,28.1223,151.24214,-71.72532,122.79349,-29.404049,150.83493,-131.53862,269.91223,9.327625,335.43442,131.00516,256.7496,691023,571656,1
20,75.83041,101.73717,39.919895,146.70557,-70.77927,123.86636,-23.384624,152.57692,-126.14384,251.27208,4.6620803,327.0452,138.88127,253.97287,669242,518585,0
21,58.58617,103.31944,15.444068,154.23624,-77.835686,114.96655,-41.03151,146.18207,-146.7739,252.7439,-9.574747,332.13815,123.48168,253.45111,660766,686730,1
22,80.2353,100.035,46.700153,143.22905,-67.21233,127.63793,-10.299185,154.94006,-124.314095,250.49117,2.6542482,329.67636,139.59929,253.29744,578570,686730,0
23,78.5573,100.75433,45.277653,144.01607,-70.660995,123.998215,-17.88936,153.80045,-132.47554,250.10179,-1.9229288,323.96808,138.4074,261.9887,676761,686730,0
24,67.226814,103.47885,28.905092,150.99583,-71.0709,123.53909,-24.87329,152.18597,-126.98215,263.3818,4.640366,335.79657,135.90154,251.61496,691026,686730,1
25,79.912186,100.1806,50.112057,141.20801,-67.62732,127.2199,-8.835946,155.0882,-125.5612,249.5754,-3.5184848,323.36,139.18205,249.2083,680700,686730,0
26,66.02124,103.56906,22.696335,152.749,-77.5915,115.313866,-37.86446,147.62796,-129.88953,261.62897,-0.061970595,329.49677,125.43316,252.42253,665877,686730,1
27,69.54002,103.202484,27.499784,151.43274,-74.692375,119.203064,-35.11593,148.77158,-141.98418,257.4533,-4.216849,334.41827,133.89609,252.74434,668800,682227,1
28,73.787674,102.331406,37.900883,147.61212,-67.34009,127.509796,-17.830736,153.81165,-128.67052,244.29857,1.8317711,328.96466,130.63985,258.6884,672279,682227,0
29,69.17225,103.255585,20.073236,153.35507,-76.50507,116.82028,-38.61521,147.29785,-135.7451,253.43239,-8.571079,321.59985,120.78919,240.53131,425794,682227,1
30,68.28019,103.36995,29.21404,150.89658,-76.7362,116.504974,-32.316986,149.83427,-125.887665,263.68463,10.372549,333.6374,133.91464,246.65459,691026,682227,1
31,72.03053,102.75009,40.109093,146.6177,-65.783676,129.03836,-10.015652,154.97055,-128.25583,245.02763,-5.6261477,320.08337,130.14629,261.4761,680700,682227,0
32,66.62021,103.528824,23.150755,152.636,-76.290215,117.11098,-40.10903,146.61774,-133.56583,262.803,-0.18421938,335.6453,134.8262,249.93086,691023,682227,1
33,65.42507,103.60014,18.30995,153.71881,-79.11375,113.09292,-37.99889,147.56943,-140.06598,265.67572,-4.10499,322.9837,124.03687,248.82272,665877,682227,1
34,72.4991,102.64662,32.94505,149.60457,-75.815994,117.74452,-35.98141,148.42233,-131.38333,271.81607,-1.0367719,337.2667,126.49782,251.4138,663609,682227,1
35,71.50594,102.858955,27.653439,151.38612,-74.558784,119.37265,-33.83171,149.2717,-136.04535,269.90973,13.686688,336.8081,138.53438,250.19073,502671,682227,1
36,68.89697,103.29303,23.456467,152.55865,-76.73489,116.506744,-33.42181,149.42685,-138.37242,260.9391,-1.8575937,342.43048,123.66547,251.23679,669242,682227,1
37,78.44432,100.799545,45.116886,144.10303,-59.995205,120.660645,-14.470482,154.39145,-130.58247,246.23396,11.547608,322.44266,145.91003,244.53844,608070,664139,0
38,74.81005,102.04872,35.617767,148.57028,-74.28766,119.714386,-23.063873,152.65779,-131.95885,247.40752,-2.6756172,318.81174,129.00723,255.61923,680757,664139,0
39,61.37204,103.57565,20.704725,153.21631,-73.6339,120.5254,-32.924088,149.6123,-140.72845,259.0298,-11.279798,328.95688,125.01485,249.66023,595956,594902,1
40,73.52216,102.40007,37.334023,147.85657,-70.75953,123.8884,-16.681688,154.02391,-134.42525,247.14859,-7.3374043,334.81183,132.73462,258.10904,677587,571656,0
41,68.90821,103.29156,29.709856,150.73483,-72.58999,121.78372,-26.729168,151.66223,-128.43452,262.59772,2.2704177,334.54868,131.49098,253.55382,671289,571656,1
42,75.88065,101.72105,42.340927,145.54262,-70.609375,124.05562,-15.631547,154.20514,-135.28955,255.66609,5.723383,332.29538,132.78062,256.20444,647304,622065,0
43,69.22411,103.24831,32.319862,149.83322,-67.35037,127.49945,-25.060991,152.13486,-117.781006,268.67618,15.658622,327.61307,131.61046,248.75137,671289,650960,1
44,70.276825,103.085556,28.563194,151.10432,-73.433,120.77101,-24.52136,152.28073,-123.96992,244.6387,-6.3513713,322.97247,124.05283,258.47607,680757,671096,0
45,72.61969,102.61903,28.675676,151.06879,-75.01462,118.79071,-28.647202,151.07779,-120.59248,264.6437,15.118188,322.8522,130.09517,239.13588,664702,671096,1
46,64.302795,103.6345,26.4399,151.74655,-73.69438,120.451126,-28.107191,151.24683,-128.72241,267.6242,2.92517,331.49396,136.26344,252.85553,657656,671096,1
47,65.8872,103.57683,21.04643,153.13934,-76.40432,116.95688,-38.23809,147.46463,-141.77536,268.20178,1.4998711,337.03906,137.35635,252.32301,608070,671096,1
48,77.53062,101.150665,37.710426,147.69475,-75.36808,118.33298,-22.893509,152.70026,-137.54594,245.15459,-4.4805923,330.9631,140.78664,255.4296,666310,608371,0
49,73.15029,102.49297,38.9094,147.16637,-69.91768,124.81577,-19.470535,153.48332,-129.80396,248.55417,-4.411851,329.13107,141.21423,257.3164,686823,608371,0
50,78.65634,100.71437,47.436253,142.80917,-67.451614,127.39754,-9.186841,155.05475,-131.59296,264.6981,4.780752,340.38495,139.18762,253.9717,647304,518585,0
51,77.62012,101.11742,44.827553,144.25851,-65.25921,111.657646,-17.313753,153.90897,-123.00084,249.60649,9.505172,317.08545,142.78873,241.07167,608070,518585,0
52,73.48429,102.40968,35.437313,148.64305,-71.59273,122.94583,-20.573675,153.24548,-128.62537,250.73244,2.7855253,320.76547,138.62415,248.92644,680757,518585,0
53,67.552734,103.448166,30.504745,150.46922,-71.389915,123.17759,-21.523071,153.02975,-131.25136,260.8912,12.120206,330.63766,130.28734,239.71626,664702,518585,1
54,73.7816,102.33298,36.34485,148.27274,-69.5043,125.262276,-22.791805,152.72545,-124.143135,255.12431,-0.25295326,321.91852,131.06711,257.72363,666310,594580,0
55,65.35612,103.603165,29.662037,150.75055,-69.33447,125.44406,-23.51061,152.54483,-133.41687,247.56662,-1.0112693,324.3091,128.30305,260.23737,686823,594580,0
56,66.45828,103.54059,24.288954,152.3425,-75.775986,117.79747,-36.602818,148.16547,-126.14761,257.63342,-3.266246,321.71222,135.99252,251.04414,671289,594580,1
57,72.28503,102.694626,24.064362,152.40161,-71.948685,122.53537,-27.004776,151.58096,-135.70074,245.96068,-13.475672,337.4044,120.90055,264.7093,686823,668881,0
58,79.67132,100.28693,53.319332,139.126,-70.03969,124.682884,-11.160284,154.8422,-130.42065,253.64215,9.295479,326.02063,144.69997,248.24414,608070,668881,0
59,66.99092,103.49939,32.07459,149.9216,-69.39173,125.38288,-17.883701,153.80151,-118.64497,269.46936,20.96777,323.7492,135.59409,237.67671,664702,668881,1
60,77.229454,101.26083,46.897297,143.11746,-67.25258,127.597626,-10.462354,154.92213,-135.10565,247.16783,-5.743183,332.63876,127.813515,255.93156,665926,668881,0
61,76.79568,101.4147,33.672974,149.33203,-67.25137,127.59883,-23.132502,152.6406,-136.52748,251.8351,-6.2587466,332.5249,132.5288,257.47766,594777,668881,0
62,77.232605,101.25969,43.605053,144.90141,-68.324295,126.506,-14.585577,154.37364,-135.45486,258.35703,-5.7508063,341.2977,127.3378,263.05777,647304,668881,0
63,72.38428,102.672516,28.388943,151.15907,-74.91353,118.92058,-28.23097,151.20839,-133.55898,243.93597,-17.23569,323.7213,131.26747,254.9003,680757,668881,0
64,77.829056,101.0388,45.20674,144.05447,-64.69588,130.06612,-6.6502953,155.26694,-133.75261,247.53525,2.175251,336.17346,133.63043,261.246,668804,664139,0
65,66.46707,103.53997,32.562958,149.7449,-72.94692,121.35841,-25.66372,151.96788,-128.10162,261.51337,3.6350198,330.09116,129.10307,246.30418,656582,664139,1
66,67.215965,103.47983,25.305023,152.06776,-74.550735,119.38284,-36.010296,148.41052,-127.00996,258.7585,-1.3796053,326.00366,128.62068,244.54813,641511,664139,1
67,70.321724,103.07798,28.44669,151.14098,-73.23825,121.00751,-25.947968,151.88765,-133.90042,261.83298,9.349126,329.2046,136.21028,256.92505,609280,664747,1
68,63.017277,103.63515,22.125021,152.88768,-74.52111,119.42032,-32.80238,149.6572,-136.95502,270.75452,-15.4705305,335.79797,133.22249,247.57533,680779,608371,1
69,68.932655,103.2883,21.933596,152.93332,-78.54213,113.94282,-39.695946,146.80893,-146.75716,261.89212,-14.768156,331.89148,129.6576,252.5752,680779,682227,1
70,70.2733,103.08615,23.474073,152.55417,-77.144196,115.94161,-35.721264,148.52835,-135.46577,260.9796,7.1519146,335.9543,133.31165,255.52736,678894,682227,1
71,71.28249,102.903114,33.677666,149.33026,-71.5815,122.95871,-24.669949,152.2409,-137.4204,256.7028,-9.457606,339.72812,129.13867,256.258,609280,682227,1
72,76.12153,101.642784,41.935528,145.74326,-68.499146,126.324524,-15.501726,154.22672,-126.99241,268.74945,13.501108,337.33127,135.8395,254.09961,663647,682227,1
73,66.31665,103.550354,19.865568,153.39972,-75.40413,118.285965,-34.935616,148.84311,-129.21019,270.80447,2.8746622,337.47647,137.31255,249.80542,668804,682227,1
74,69.066826,103.27016,30.331432,150.5278,-75.01767,118.78679,-29.068626,150.94344,-133.18413,251.8617,-4.053858,325.42706,124.925735,237.05136,641511,682227,1
75,67.688576,103.434586,25.48547,152.0177,-74.3465,119.640495,-32.862213,149.63515,-147.26056,258.80423,-4.0330787,333.56277,129.17767,249.31108,669707,682227,1
76,67.37461,103.46527,21.81183,152.96213,-78.44666,114.08284,-39.397896,146.9454,-142.1005,256.0589,-10.163999,333.44452,130.97844,247.84795,656582,682227,1
77,76.1496,101.633545,44.153824,144.61563,-67.124245,127.726006,-12.941303,154.61441,-129.2605,255.26381,-8.143766,332.26804,123.82152,252.71591,641943,664139,0
78,78.193756,100.89841,39.3969,146.94585,-70.38327,124.30592,-14.99607,154.30894,-125.39003,264.83383,9.475923,330.90375,152.53403,254.14607,669261,518585,0
79,71.93454,102.77055,28.114246,151.24463,-74.487045,119.46339,-29.839123,150.69217,-126.37333,267.70145,11.203835,334.45135,140.68297,257.95914,663647,622065,1
80,69.46829,103.213104,30.925926,150.32532,-70.009636,124.71566,-20.381468,153.2879,-128.00941,265.7656,2.9481516,330.00735,134.58957,254.69261,669707,683175,1
81,76.744995,101.43231,44.8149,144.26529,-71.29332,123.287445,-16.554014,154.0466,-134.10068,252.3661,-7.3952527,332.4215,136.64307,254.65178,641943,683175,0
82,72.81408,102.573746,32.397625,149.80505,-69.84282,124.89706,-24.779114,152.21149,-138.8054,249.86288,-10.119848,326.79324,121.29235,264.52267,678225,664139,0
83,67.8508,103.41774,31.715345,150.04964,-72.2159,122.224106,-25.218767,152.09155,-129.71237,261.73187,3.780236,334.2552,128.41393,253.34167,609280,571656,1
84,70.45202,103.05568,36.1109,148.36923,-72.194145,122.24954,-22.45756,152.8074,-131.39366,265.41998,-2.5221195,327.4622,123.85232,253.2762,656582,608371,1
85,72.78034,102.58168,37.12686,147.94482,-69.90321,124.83149,-17.460402,153.88165,-124.07114,255.4564,-4.4830446,328.4212,119.34828,263.82227,678225,671096,0
86,66.72231,103.52106,20.71593,153.2138,-75.40021,118.291084,-34.40123,149.05255,-133.60712,256.2756,-0.7297589,330.75412,127.722984,254.0896,656582,671096,1
87,66.23731,103.55558,25.143023,152.11238,-75.72663,117.862686,-35.246365,148.71957,-123.446724,263.24896,4.8499928,331.03287,134.5048,253.21976,609280,671096,1
88,74.30377,102.192345,39.24443,147.01517,-72.2667,122.16461,-21.401398,153.05798,-127.34828,274.7771,23.582047,340.83124,143.91908,249.44095,663647,671096,1
89,75.964,101.69415,38.251705,147.45865,-69.28848,125.49313,-20.16374,153.33546,-129.5534,246.26051,-5.6199293,320.75668,129.50629,249.89671,650489,664747,0
90,67.202576,103.481026,31.618235,150.08397,-71.78752,122.7218,-25.83422,151.91986,-128.9495,268.66016,7.1731553,335.52405,135.02393,253.13676,543877,664139,1
91,77.80974,101.04613,41.223667,146.08977,-69.58882,125.17145,-19.80251,153.41318,-137.8105,255.001,-1.2538673,327.85086,124.85728,258.18112,664057,668881,0
92,71.238045,102.91174,34.488113,149.01877,-71.365036,123.20592,-21.38732,153.06125,-127.54085,260.01666,5.1421013,330.2379,140.85658,245.092,456781,668881,1
93,63.477074,103.63966,23.571184,152.52934,-74.40015,119.573,-34.530838,149.0021,-126.65403,265.26086,4.8150234,330.0804,140.31242,242.75856,571657,668881,1
94,64.46694,103.631454,16.477045,154.06018,-74.53568,119.401886,-32.522846,149.75954,-132.54944,265.0371,2.3316453,336.95,130.91777,253.51764,571657,571882,1
95,79.9697,100.15494,50.288105,141.09842,-66.90554,127.94367,-4.426472,155.39682,-124.50133,257.89334,12.702296,336.1509,144.8526,257.8546,670242,571882,0
96,63.04858,103.63562,18.354006,153.71014,-76.20607,117.2242,-38.59726,147.30582,-132.01163,263.9695,-0.3070733,336.97903,129.04703,243.92265,680777,571882,1
97,75.424324,101.86473,42.914906,145.25443,-67.346146,127.503716,-15.500009,154.22699,-136.1287,249.1763,-7.565308,331.10904,133.9532,259.73035,666397,594902,0
98,74.79157,102.05409,42.778843,145.32318,-65.32732,129.47348,-10.246142,154.94583,-130.64954,257.99185,-2.6638594,341.65533,139.63435,258.86945,666135,594902,0
99,80.536804,99.89601,53.119095,139.26143,-64.772804,129.99448,-9.525255,155.02127,-134.95656,256.61243,-0.9317355,340.18393,144.0671,256.2448,670242,594902,0
100,66.59638,103.530594,19.05285,153.5698,-73.56384,120.61124,-38.599735,147.30472,-133.82593,270.4235,4.3599644,335.764,132.95496,258.32184,680777,594902,1
101,77.56351,101.13847,49.582947,141.53415,-70.82743,123.81253,-13.590986,154.5228,-126.582664,253.92993,4.7937326,329.06137,147.59283,252.84059,593871,594902,0
102,74.136444,102.23824,42.990894,145.2159,-66.662056,128.18434,-9.4726925,155.02655,-129.0308,254.23546,-7.9177933,329.56152,124.169044,267.52432,666135,622065,0
103,77.092354,101.310074,41.802246,145.80869,-65.5788,129.23444,-16.695295,154.02148,-134.72531,252.91495,-1.4552156,328.78082,140.3037,254.5251,666397,518585,0
104,77.82926,101.03873,47.89205,142.54482,-72.97941,121.31946,-13.63123,154.51697,-125.003075,252.33968,1.085789,330.54877,136.83237,254.06116,596146,622065,0
105,65.874695,103.57753,19.400904,153.49786,-77.0274,116.10379,-37.299637,147.87126,-138.80312,271.08463,4.393534,334.3977,130.57436,257.2415,668904,622065,1
106,79.75157,100.25171,46.584507,143.29422,-67.98284,126.85761,-9.35863,155.0379,-129.326,253.021,8.462862,326.24268,144.6174,249.01584,593871,571882,0
107,77.50058,101.16179,45.76835,143.74817,-69.61357,125.144806,-16.124216,154.12163,-130.60872,257.28125,2.1535144,333.25372,137.7076,265.59082,666397,571882,0
108,66.49896,103.5377,30.176743,150.57977,-74.551956,119.38129,-31.691214,150.05818,-126.39124,265.53516,6.1298842,330.51764,134.06487,248.6973,572191,571882,1
109,67.325,103.46988,28.209618,151.21503,-73.42091,120.785736,-32.1795,149.88388,-134.7298,267.8443,2.5982034,333.66983,135.04382,249.95609,571657,683175,1
110,80.238754,100.03342,49.60571,141.5202,-64.81318,129.95683,-15.651864,154.20175,-141.58772,249.31558,-6.5998826,333.44202,130.52126,264.93726,596146,683175,0
111,65.60808,103.59155,29.377342,150.84363,-74.85999,118.98917,-32.193916,149.8787,-140.22195,263.08066,-10.243281,340.2797,132.80818,263.8766,668904,683175,1
112,80.52272,99.902565,50.678062,140.8538,-71.933716,122.55272,-13.004797,154.60565,-135.59451,248.4454,-0.67117375,328.98264,150.08673,248.66321,593871,683175,0
113,66.94898,103.5029,29.64496,150.75616,-72.9027,121.411385,-25.548285,152.00018,-124.35581,276.2412,18.99486,338.1913,142.97588,246.89745,543877,683175,1
114,73.257904,102.46648,32.69756,149.69568,-69.29493,125.48626,-22.843407,152.71268,-136.58289,253.8294,-9.685235,336.18063,123.69258,260.65247,666397,683175,0
115,69.1204,103.26278,29.496424,150.80482,-74.62243,119.291954,-35.32436,148.68839,-138.86462,253.35667,-7.2182803,328.9842,126.65334,245.31023,660620,594580,1
116,72.94617,102.54237,36.914333,148.03474,-70.43925,124.244125,-22.109144,152.89148,-130.72174,250.7041,3.7588165,322.1818,136.99152,250.4262,643446,594580,0
117,69.241936,103.24579,25.18056,152.10208,-77.21119,115.84828,-35.62817,148.56607,-143.78726,261.21298,2.6555388,338.7611,139.27643,255.01936,682626,594580,1
118,73.32259,102.4504,34.320713,149.0838,-73.72399,120.41472,-28.43494,151.14465,-116.683426,250.40312,8.01599,321.30927,139.07748,248.45743,643446,686730,0
119,60.26761,103.497574,21.014954,153.14648,-79.176704,112.99809,-43.241165,145.08842,-142.3912,251.31006,2.5457401,325.8919,129.3293,247.21313,641796,686730,1
120,78.149574,100.91562,46.207558,143.50519,-69.89792,124.83724,-18.66035,153.64929,-131.32101,250.47191,0.92819846,333.68564,138.09232,248.7424,596019,686730,0
121,63.619625,103.64,19.120451,153.55594,-73.99316,120.082,-35.59797,148.57828,-137.45764,261.26553,-0.7660397,343.72635,130.03111,262.3317,624413,686730,1
122,65.55366,103.59419,20.669874,153.22409,-74.12989,119.91178,-29.309435,150.86569,-132.98796,263.1988,4.5691466,339.76633,132.68857,260.64862,668901,682227,1
123,66.758736,103.518234,22.578842,152.77783,-77.02964,116.10068,-37.914062,147.60638,-137.59328,261.24155,-9.416503,326.2748,125.05479,249.93135,641796,682227,1
124,72.286385,102.69432,37.227917,147.90184,-70.07073,124.648994,-20.49287,153.26337,-128.21814,244.45139,-6.8694987,335.43118,119.59285,263.6374,643446,682227,0
125,65.26119,103.60713,22.543585,152.78644,-77.77663,115.05086,-37.807575,147.65266,-134.49025,264.3595,6.0959234,334.6763,139.63669,252.13762,682626,682227,1
126,67.820114,103.420975,29.874632,150.68042,-75.37118,118.32893,-29.633678,150.75987,-137.86511,261.83423,9.453471,335.1689,138.99843,250.24158,624413,682227,1
127,70.01527,103.12867,27.266642,151.50291,-70.67086,123.98724,-24.552683,152.27235,-138.6868,250.86018,-7.383987,334.84805,124.5459,262.83444,607043,682227,0
128,79.73896,100.257256,50.99731,140.65158,-68.04396,126.79495,-13.337058,154.55914,-136.40442,258.59134,-7.216417,332.80676,130.62813,259.77606,596129,571882,0
129,77.74853,101.06926,48.4877,142.19421,-64.52903,130.22092,-6.9909534,155.24243,-124.013115,248.23741,1.9450366,331.61548,133.69954,258.8928,621466,571882,0
130,65.006676,103.61664,20.509235,153.25975,-75.60554,118.0222,-36.160637,148.34879,-133.42651,272.42813,6.376153,341.99374,132.09749,264.08212,668901,518585,1
131,75.87435,101.72306,40.656532,146.36063,-67.60099,127.246574,-16.816286,153.9998,-129.9495,253.06572,0.94818646,321.60748,145.42476,247.46846,643446,518585,0
132,77.290474,101.23873,45.047882,144.14023,-68.288376,126.54316,-14.025598,154.45895,-129.31656,257.9841,0.3222369,336.87204,146.66321,259.0158,596019,518585,0
133,64.06243,103.63777,17.550386,153.86479,-76.98055,116.168625,-36.929237,148.02846,-134.99034,268.51828,-0.32925457,333.7439,137.7061,253.19875,624413,518585,1
134,65.30422,103.60536,27.579191,151.40869,-74.980965,118.834,-27.018333,151.57693,-134.05579,265.3396,8.801549,343.83762,125.43598,257.51367,682626,518585,1
135,71.80667,102.79743,35.625896,148.567,-73.004524,121.28931,-29.539951,150.79059,-128.97003,247.81825,2.3877325,328.5222,123.363396,259.476,607043,594580,0
136,66.614105,103.52928,27.164526,151.53345,-78.21957,114.41382,-34.436214,149.03896,-135.92825,252.54239,0.020668298,328.43893,133.21288,246.67503,641796,594580,1
137,72.198814,102.71361,34.15798,149.14667,-69.050354,125.74606,-21.363363,153.06677,-122.46598,250.79616,-0.26423326,328.9773,136.00165,254.96165,621466,594580,0
138,70.91234,102.97336,26.044329,151.86023,-76.54321,116.76843,-36.977337,148.00815,-133.79964,257.62802,-1.5281457,328.4941,123.82087,249.43799,641796,671096,1
139,71.43121,102.87387,29.954407,150.65393,-76.1767,117.26364,-34.950047,148.83739,-138.701,260.05267,0.6506165,344.40207,136.99126,262.03403,624413,671096,1
140,73.10775,102.50337,34.440346,149.03735,-74.82566,119.03307,-26.896465,151.613,-138.25446,271.51773,13.363443,344.1234,142.2359,255.6406,668901,671096,1
141,66.999596,103.49866,27.53112,151.42325,-75.128006,118.6445,-34.06851,149.18109,-138.7889,269.40262,11.327185,340.78595,140.25584,256.0857,682626,671096,1
142,75.307465,101.90056,35.69046,148.54085,-69.51045,125.25568,-20.061827,153.35754,-131.42664,243.83769,2.510949,325.1164,138.10986,244.28503,542364,664747,0
143,77.49751,101.16292,47.10158,143.00116,-70.76143,123.886284,-12.6027975,154.66034,-126.55967,251.23941,1.8684963,325.5738,136.67033,257.5988,643446,608371,0
144,73.52804,102.39856,34.35473,149.07062,-70.21649,124.48941,-27.98054,151.28595,-134.93906,259.88785,-21.815548,331.4665,128.86995,265.8189,607043,668881,0
145,78.33373,100.843414,37.794674,147.65826,-72.1095,122.34837,-25.078644,152.13004,-132.15024,250.5909,0.8333884,331.76343,134.59532,262.41318,643446,668881,0
146,77.044914,101.32698,43.234734,145.0917,-67.71945,127.126396,-17.702736,153.83603,-137.43129,250.73167,2.2544158,337.6564,127.85857,256.91318,596019,668881,0
147,77.83291,101.03734,43.362453,145.0263,-70.774086,123.87215,-17.892994,153.79974,-133.03607,263.17996,-11.967882,334.7474,132.5984,259.38193,677595,668881,0
148,64.68466,103.62636,26.985106,151.58679,-74.37688,119.602295,-26.8884,151.61539,-130.27756,272.36267,8.89555,344.4886,138.6016,252.77596,624413,668881,1
149,78.486,100.78291,38.47227,147.3613,-72.99225,121.304054,-18.483297,153.68459,-133.90286,249.3742,-8.517458,329.39285,135.00085,262.98123,621466,668881,0
150,61.693718,103.59262,16.774555,154.0073,-77.22193,115.83329,-39.85012,146.73785,-131.44661,280.4369,6.4788246,334.7519,129.69614,252.27914,679529,571656,1
151,77.579315,101.132614,45.69572,143.78806,-65.39017,129.41391,-11.962207,154.74387,-119.32383,262.95013,7.7173367,330.96634,142.38678,258.36447,678009,594902,0
152,66.657776,103.52599,19.02647,153.5752,-75.6725,117.934074,-37.382,147.83606,-132.54234,269.14072,12.895807,334.09872,134.08919,255.9059,595879,594902,1
153,72.528534,102.63992,37.97195,147.58118,-69.045296,125.75142,-16.81665,153.99973,-139.59329,269.51825,11.2656,333.91803,136.4749,252.04515,663527,594902,1
154,61.972275,103.60522,21.00182,153.14948,-74.4903,119.459274,-36.442913,148.23206,-139.04187,262.43945,-2.0814753,339.99878,133.5068,245.46046,668670,594902,1
155,77.18249,101.277756,43.314175,145.05106,-69.028465,125.76922,-15.784576,154.17949,-134.12267,257.30777,5.043194,334.78226,145.28389,247.51967,681481,594902,0
156,69.64553,103.1866,27.120262,151.54663,-75.40067,118.29048,-34.49553,149.01587,-129.46465,264.56738,9.800338,340.52966,143.79037,260.4945,595879,594580,1
157,73.44143,102.420555,30.719162,150.39624,-71.124306,123.478836,-26.330185,151.77826,-123.45704,246.0718,-2.9076092,327.65402,127.33065,259.20285,668731,594580,0
158,74.98599,101.99711,43.59566,144.90627,-68.803154,126.00669,-15.580456,154.21365,-132.49776,255.2444,3.926593,335.2751,123.88244,260.1561,668731,650960,0
159,67.170906,103.48385,24.78041,152.21112,-72.16225,122.28682,-31.441204,150.14626,-130.43803,264.27875,13.20755,331.24155,134.40627,251.69598,628451,664139,1
160,75.94289,101.70099,40.34907,146.50552,-65.68859,129.12952,-13.358026,154.55617,-136.83357,254.95532,-3.8381164,335.48087,132.63551,254.93843,681481,664139,0
161,71.557686,102.84854,38.061985,147.54185,-72.34638,122.07112,-23.019257,152.66895,-138.7789,259.1464,2.7309744,325.40042,128.63779,249.3861,608348,622088,1
162,68.26031,103.37225,28.504072,151.12296,-71.58493,122.95477,-27.325064,151.48538,-127.257324,266.13968,4.7857294,337.49173,141.73431,247.6863,408234,683175,1
163,68.698204,103.318886,29.239264,150.88843,-69.7341,125.01478,-23.656113,152.50754,-132.82858,269.13336,4.9010634,336.64905,129.87283,252.80972,628451,683175,1
164,76.636284,101.46983,42.889973,145.26703,-67.281204,127.568924,-16.934778,153.97841,-127.93183,248.51837,-3.9817646,320.61325,130.68358,253.56332,656716,683175,0
165,59.501717,103.425354,21.953758,152.92853,-75.64669,117.96806,-37.919533,147.604,-128.56247,269.8816,3.9670827,336.0169,126.87751,249.32397,668670,664139,1
