matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,64.57103,103.629166,24.34776,152.32693,-75.851654,117.69726,-32.644337,149.71518,-134.51044,255.3197,4.337518,330.09058,132.17006,244.02403,658668,669711,1
1,67.77343,103.42586,16.417486,154.07065,-78.05551,114.65106,-41.726562,145.84573,-133.83568,259.35602,-3.1081438,334.87323,136.50137,256.54443,521692,666745,1
2,63.98567,103.638504,22.950443,152.6861,-73.20553,121.04709,-33.541145,149.3819,-126.38076,267.46323,4.633104,325.9259,122.48298,244.66008,680118,666745,1
3,74.32276,102.1871,42.38338,145.52145,-71.57875,122.96185,-21.872543,152.94778,-133.88733,266.1929,-0.914443,341.65598,134.03493,260.14395,669004,666745,0
4,71.99407,102.75789,31.060204,150.27898,-71.68102,122.84445,-26.08019,151.85,-131.83086,264.78146,12.737796,334.48654,139.46669,251.65706,677951,666745,1
5,76.252075,101.599655,38.953156,147.1467,-71.4176,123.14604,-21.367008,153.06592,-134.85933,248.85837,-9.18003,328.79654,127.51426,271.36368,668472,650633,0
6,76.635185,101.470215,43.0121,145.20514,-72.36048,122.054535,-17.107037,153.94705,-128.55157,261.6711,-8.173389,332.85114,138.70906,264.02515,686681,650633,0
7,75.12528,101.955635,38.628475,147.29193,-67.61395,127.23345,-19.859407,153.40105,-141.7127,260.3861,-0.11138712,341.9461,141.55121,264.75385,669004,650633,0
8,58.743397,103.33916,14.738401,154.34976,-77.93187,114.82884,-40.885628,146.25177,-138.93275,256.66327,-10.35469,340.60263,132.12413,257.9915,521692,650633,1
9,63.87417,103.63931,24.976967,152.1578,-72.00385,122.47133,-27.762024,151.35301,-121.27778,269.51144,11.619722,332.9476,133.08234,250.03922,677951,650633,1
10,70.29011,103.08333,31.260275,150.2095,-71.00119,123.6176,-25.942457,151.88922,-121.37616,265.7598,3.9748638,326.14673,134.64772,253.27081,672580,650633,1
11,69.81082,103.16115,23.175983,152.62965,-75.133385,118.63756,-34.899445,148.85739,-124.52104,260.36713,-0.9587216,331.0191,124.13974,252.81873,680118,650633,1
12,68.43611,103.351425,25.896719,151.90219,-74.42535,119.541245,-34.27945,149.09976,-131.19357,260.93115,-5.5460234,329.7917,138.73154,247.27565,658668,650633,1
13,67.9143,103.410965,33.234264,149.4971,-67.41937,127.43003,-19.783224,153.4173,-123.25696,269.6249,13.072281,335.6992,129.66805,255.19936,677951,605280,1
14,77.71721,101.08105,44.28563,144.54633,-73.35837,120.86182,-12.411858,154.6857,-134.40407,256.5895,-5.98754,338.64713,145.2732,257.65826,686681,641656,0
15,62.264084,103.61632,15.028963,154.30368,-76.5429,116.76886,-41.71089,145.8534,-129.30464,264.27078,-0.7044518,330.1805,126.49332,246.94557,658668,641656,1
16,75.15406,101.947,39.68231,146.8152,-65.48121,129.3274,-18.11402,153.75708,-129.72087,257.63608,4.4233704,339.35663,135.16539,260.73343,686681,593423,0
17,64.14156,103.636856,9.361494,155.03763,-75.79346,117.77436,-43.137424,145.14139,-143.63318,265.72134,5.4900723,344.69763,129.8517,254.27516,521692,593423,1
18,70.57847,103.033615,35.63187,148.56458,-71.02603,123.58965,-23.82058,152.4651,-128.1123,266.14136,3.773637,338.54538,134.17125,258.8452,677951,593423,1
19,69.7163,103.17579,23.413485,152.56958,-73.259575,120.98169,-30.321934,150.531,-133.85446,260.50937,-5.539919,338.26144,122.853165,249.16866,682515,657376,1
20,67.56683,103.44678,22.05512,152.90439,-74.2521,119.75897,-33.11162,149.5428,-126.55078,259.62482,-1.601333,330.16608,123.12221,251.87212,680118,657376,1
21,76.069695,101.659775,51.18163,140.534,-67.481094,127.36779,-5.8049836,155.32248,-129.40114,254.99936,4.507854,331.94983,144.37206,248.93251,686681,657376,0
22,65.69336,103.58726,20.741636,153.20807,-77.25856,115.782135,-37.765972,147.6707,-130.068,273.9597,12.109599,332.52014,133.72635,253.72685,676369,657376,1
23,80.26883,100.019684,51.16147,140.54688,-64.44909,130.2948,-8.879217,155.08414,-135.95015,253.2152,3.7417314,343.53235,140.41022,252.72823,669004,657376,0
24,68.24995,103.37346,23.010612,152.67111,-73.18618,121.07048,-33.48676,149.4024,-128.13568,270.07578,10.402308,332.23346,134.03119,253.26358,677951,657376,1
25,80.289345,100.0103,48.154835,142.39085,-67.8417,127.001915,-12.10917,154.7251,-129.60233,239.47417,6.988627,324.62668,137.91714,253.43088,671221,657376,0
26,70.55711,103.03738,39.13355,147.06538,-66.759,128.08873,-13.592256,154.52261,-125.77879,268.77325,-0.88273245,335.71375,133.16667,253.48257,672580,657376,1
27,63.141136,103.63689,21.114159,153.12393,-76.37949,116.99048,-37.409595,147.82425,-138.32127,255.2568,-2.407769,329.17953,127.3419,256.74466,679845,598286,1
28,79.75128,100.25184,51.430874,140.37405,-63.52039,131.14107,-7.476959,155.2053,-126.879166,253.73927,-5.602886,332.43076,137.40007,259.747,664728,641871,0
29,66.16984,103.55992,27.430033,151.4538,-74.35485,119.63,-32.851704,149.63902,-142.33089,259.25836,-0.66502005,336.07162,129.35376,257.0995,521692,681190,1
30,76.93878,101.36456,43.230568,145.09384,-66.99467,127.85514,-15.582384,154.21333,-129.27031,255.817,0.26885226,329.76434,131.34387,262.20383,664728,681190,0
31,67.85304,103.41751,28.217182,151.21268,-71.84584,122.65445,-23.638596,152.51205,-127.12087,258.81546,4.9324155,320.05264,131.03052,246.5638,679845,681190,1
32,63.626423,103.64,26.10079,151.84412,-71.23775,123.350494,-26.488361,151.73248,-126.294044,260.23285,4.6166854,324.6704,130.42279,242.47986,682515,621199,1
33,70.88533,102.97835,36.735497,148.10995,-66.13392,128.70047,-16.727543,154.01572,-126.5985,252.01584,0.98130023,318.44647,121.366714,245.99084,622110,621199,1
34,63.34361,103.6389,21.52649,153.02896,-73.41108,120.797714,-31.582586,150.09654,-133.2123,258.62146,3.6513834,325.2068,131.14964,240.08282,679845,621199,1
35,71.632645,102.83333,34.9675,148.83047,-75.77849,117.79417,-29.93637,150.65994,-132.25815,263.53757,10.860665,340.95062,145.3731,251.21768,676369,607074,1
36,71.53772,102.85257,34.16426,149.14426,-75.70054,117.89711,-26.189148,151.81883,-128.64124,263.59955,18.608242,334.9362,149.7281,260.339,672580,607074,1
37,66.13424,103.56215,19.41911,153.49408,-76.83603,116.36792,-42.812836,145.30603,-143.01776,266.61356,3.2855713,333.5116,129.0141,251.66249,543807,672782,1
38,66.73413,103.52014,24.515131,152.2824,-75.62488,117.99677,-30.250402,150.55505,-126.505135,272.34064,13.36413,338.17673,139.09412,245.7808,672386,672782,1
39,76.528694,101.50663,47.652718,142.68405,-69.26812,125.51483,-13.521518,154.5328,-124.83139,248.22322,-8.2791605,316.64124,132.2344,257.0397,624415,672782,0
40,65.49094,103.59715,27.758694,151.35403,-68.34589,126.48364,-21.875332,152.94711,-133.95679,264.46136,1.9117262,339.42264,139.72711,254.18895,665489,502083,1
41,70.43768,103.05817,35.897896,148.45648,-71.892044,122.601,-22.145542,152.88277,-136.34482,264.41937,6.270024,348.7543,140.15392,261.27335,656305,502083,1
42,75.87226,101.723755,44.80339,144.27145,-66.14918,128.68567,-12.893039,154.62103,-128.38405,261.57382,9.203688,333.7844,137.09044,247.1986,666182,669711,1
43,67.566444,103.44682,26.32769,151.77899,-72.594536,121.77833,-28.179167,151.2245,-133.63165,264.9932,11.863399,335.50287,132.06694,253.8493,665489,669711,1
44,74.936874,102.011604,37.909607,147.60834,-68.35048,126.47888,-20.080318,153.35355,-131.48395,251.0199,-16.699436,339.98495,132.62965,265.5369,474832,669711,0
45,62.309242,103.61786,11.80705,154.76343,-76.97254,116.179695,-40.128757,146.60855,-136.27254,262.37753,2.4398458,334.99728,137.22725,258.4811,543807,596133,1
46,79.30728,100.444016,44.960506,144.18723,-67.66834,127.17831,-14.024928,154.45905,-124.258156,256.6777,4.845539,337.25986,138.04327,257.1834,662139,596133,0
47,80.29239,100.00891,48.591488,142.1325,-70.42699,123.282906,-12.824837,154.63036,-125.32926,251.82698,-5.311584,332.27097,132.63533,258.5796,624415,596133,0
48,72.243805,102.70372,33.647003,149.34187,-68.829865,120.56784,-23.249792,152.61105,-123.72479,250.20386,-0.3952076,335.5865,136.84221,260.24487,474832,596133,0
49,73.16363,102.489716,39.135784,147.06436,-65.08692,129.70038,-12.245969,154.70741,-124.06995,266.38272,15.916785,335.28198,146.28233,253.47917,666182,543037,1
50,64.77694,103.62383,18.198177,153.74069,-74.24422,119.76886,-33.545254,149.38034,-131.70601,267.43854,3.7993436,339.40356,135.57666,249.63579,543807,543037,1
51,71.25503,102.90845,31.864939,149.99652,-72.704185,121.64819,-21.59586,153.0128,-118.10452,259.71115,16.591839,327.83356,133.73534,247.87968,593160,543037,1
52,71.375496,102.8849,33.04266,149.56842,-70.56361,124.10643,-25.195278,152.09802,-127.91047,269.23538,6.0510597,346.22006,142.64708,254.35976,656305,543037,1
53,68.65271,103.32466,27.184301,151.52754,-68.320755,126.50965,-23.4205,152.56781,-113.39383,268.8107,16.273415,340.9387,139.9878,248.13428,672386,543037,1
54,75.4534,101.85574,36.45818,148.22571,-74.100815,119.94803,-26.132849,151.83496,-129.96457,254.39003,-2.2747836,334.0416,130.02051,252.03252,474832,543037,0
55,69.961784,103.137276,33.061676,149.56136,-70.0482,124.67359,-21.644114,153.00153,-129.76834,259.5605,8.656718,339.5885,140.20685,261.34125,665489,543037,1
56,75.65576,101.7926,41.142708,146.12872,-68.99819,125.80122,-14.618784,154.36847,-134.78015,253.83629,-9.328936,332.39093,120.40826,260.71967,595281,543037,0
57,68.47479,103.346725,26.156765,151.82811,-71.53972,123.006546,-27.83687,151.33011,-128.3356,269.43323,7.204786,334.3548,134.03044,250.38438,656305,605280,1
58,76.90893,101.37508,44.558327,144.40207,-70.22086,124.48462,-17.687307,153.83894,-130.82388,259.08313,2.471707,327.3766,127.67685,268.50803,624415,605280,0
59,70.926254,102.97078,36.70379,148.12323,-68.051094,126.78762,-12.878065,154.62308,-125.18167,266.15884,13.471537,333.07455,137.38359,249.14626,666182,666745,1
60,74.64905,102.09518,42.096897,145.66367,-72.703575,121.64892,-23.90293,152.44373,-126.763115,249.02824,-6.869854,329.6711,130.22256,270.77048,474832,666745,0
61,71.47169,102.86581,39.53334,146.88354,-66.49009,128.35327,-10.400722,154.92894,-123.19199,267.64117,14.12868,337.2196,138.8006,243.9507,666182,650633,1
62,67.16869,103.484055,34.94161,148.84073,-71.31436,123.26355,-19.101944,153.55974,-130.6783,266.49234,14.780163,328.0135,135.95563,247.30699,672386,650633,1
63,77.251144,101.25298,52.445724,139.7114,-64.22366,130.50229,-7.1491733,155.23062,-126.90456,258.703,6.6606674,327.28204,133.34528,259.82584,624415,650633,0
64,74.54055,102.12607,32.396584,149.80544,-72.37127,122.041855,-25.632034,151.97678,-127.73132,252.38066,11.13961,334.1309,130.83492,253.55992,662139,650633,0
65,64.96123,103.618164,18.576984,153.66595,-75.542915,118.1044,-37.296387,147.87265,-133.52315,265.54214,0.06913288,335.31433,132.11118,258.79312,656305,650633,1
66,60.514206,103.51768,16.058994,154.13284,-76.422615,116.93211,-40.354443,146.50302,-126.54644,258.2081,-3.3788462,330.47836,130.69695,253.21828,543807,650633,1
67,77.90033,101.01168,44.061443,144.66406,-68.935036,125.8679,-17.290545,153.91327,-136.9767,255.8066,-0.26930028,330.82336,126.879234,253.84137,677950,605280,0
68,75.31104,101.89946,33.807796,149.28082,-70.1848,124.52417,-21.49793,153.03561,-130.23608,264.40234,-8.280862,333.84647,123.326706,250.51378,677950,641656,0
69,77.82991,101.03848,46.037285,143.59976,-65.364235,129.4385,-9.626187,155.01105,-116.31479,256.87277,4.2361083,331.33752,129.62152,253.60788,682998,598286,0
70,67.930305,103.409256,27.365961,151.4731,-73.58558,120.58463,-33.8643,149.25928,-122.25011,256.67856,-0.45079368,326.59378,136.28201,244.05104,672695,598286,1
71,66.55484,103.533646,27.014896,151.57797,-73.36264,120.856636,-30.070786,150.6152,-127.94945,263.60602,4.3379707,331.6818,126.58446,254.22623,656896,669711,1
72,67.82036,103.42095,23.336172,152.5892,-71.47018,123.08606,-29.459143,150.81699,-136.36559,254.57123,5.0451846,329.7401,127.79316,248.4515,666971,669711,1
73,65.25934,103.60721,16.677252,154.02469,-75.35517,118.34979,-40.035313,146.65204,-134.36955,259.75806,-10.7201805,332.2987,128.1917,245.15656,572233,669711,1
74,73.00192,102.52901,32.246933,149.85959,-72.90374,121.41014,-27.420532,151.45667,-125.08258,262.91174,5.9586663,335.19818,128.02711,255.35808,672515,669711,1
75,68.207954,103.37832,28.36107,151.16779,-72.839,121.48755,-28.56679,151.1032,-136.2347,270.83487,4.414778,326.77197,119.77558,253.61555,691783,657376,1
76,65.41186,103.60074,17.5676,153.86154,-76.10563,117.358894,-39.18713,147.04114,-132.23163,268.56747,-2.9028482,337.87198,125.9257,256.11786,656896,657376,1
77,65.067604,103.61452,24.443012,152.30164,-73.23592,121.01033,-30.418633,150.49838,-130.551,273.26837,-0.3808182,334.59982,131.04701,256.76038,666971,657376,1
78,78.013336,100.96837,52.79834,139.4768,-67.218796,127.63146,-5.264467,155.35402,-131.15793,253.90886,0.9777199,335.21735,130.06879,252.09451,682998,657376,0
79,75.80822,101.744255,41.476807,145.96738,-68.804474,126.0053,-12.333965,154.69592,-138.66417,252.51976,-19.651762,332.25146,130.78816,260.76273,677950,681190,0
80,68.84259,103.3002,31.715416,150.04962,-72.77271,121.56663,-28.310595,151.18356,-132.87184,256.80878,10.842529,330.17752,130.35597,251.9076,691783,681190,1
81,77.125,101.298386,44.178688,144.60257,-67.779854,127.06495,-13.020373,154.60352,-132.37566,257.98315,0.0025160082,338.42184,134.36035,249.41852,682998,681190,0
82,69.67658,103.18187,31.642956,150.07524,-74.05162,120.00931,-27.623629,151.39519,-126.3446,257.57278,7.1381145,345.19067,143.664,252.68498,502054,607074,1
83,71.891235,102.77971,26.623756,151.69307,-75.05788,118.735,-35.374146,148.66843,-127.72438,261.21988,12.61148,336.5337,148.57907,250.79962,672515,607074,1
84,70.735886,103.005554,32.73896,149.6805,-76.28499,117.11803,-30.35699,150.51918,-121.19046,260.1508,5.373629,324.66785,135.07622,246.44756,672695,607074,1
85,69.179306,103.25459,27.85356,151.32498,-71.30208,123.2775,-27.869223,151.32019,-129.93573,258.9158,-16.836643,342.8027,126.2528,264.31378,677950,607074,0
86,63.973995,103.6386,18.03886,153.77164,-79.16894,113.00981,-44.409996,144.48067,-128.62726,278.702,14.046825,338.223,142.02083,260.23087,446334,607074,1
87,68.66134,103.32358,27.503613,151.43158,-78.259285,114.35614,-35.36475,148.67218,-135.22237,269.7028,8.094923,337.35202,145.53452,257.1445,666971,607074,1
88,67.62661,103.44084,24.436058,152.30348,-75.243065,118.49552,-28.112864,151.24506,-132.26312,271.1494,11.500085,341.49707,133.49635,257.5627,572233,607074,1
89,75.50767,101.838936,42.976097,145.2234,-68.60529,126.21388,-17.469894,153.87988,-133.2953,247.05147,0.36158434,336.73294,122.10457,264.67618,682998,607074,0
90,68.49714,103.34401,22.250414,152.85756,-79.52102,112.47507,-41.5332,145.94,-124.53771,268.06754,13.562683,327.4384,132.68408,245.97139,691783,607074,1
91,73.80657,102.32645,42.46822,145.47913,-66.83359,128.01497,-12.262644,154.70525,-132.67546,266.79913,-9.453144,341.49686,123.147835,260.30386,677950,666745,0
92,75.92391,101.70712,47.39875,142.83078,-67.78103,127.06374,-11.103104,154.84894,-131.99458,257.02194,-0.23711562,325.28546,128.9256,262.58304,664983,666745,0
93,75.72997,101.76915,41.323807,146.04147,-67.72278,127.12302,-16.821157,153.99893,-131.26913,259.93716,-4.1847024,337.48425,130.3999,262.6717,682998,666745,0
94,68.52464,103.34064,28.726833,151.05258,-75.11351,118.66322,-28.69188,151.06366,-133.26915,259.89386,1.0367525,334.0097,129.66743,250.56299,666971,666745,1
95,77.43611,101.18553,45.317562,143.99442,-68.31379,124.51524,-17.896349,153.7991,-120.058464,245.8901,-2.0434701,309.96436,136.01804,254.60483,672695,596133,0
96,71.49766,102.86063,32.824192,149.64915,-71.604324,122.93253,-24.547241,152.2738,-118.095276,265.64075,16.984385,331.3541,144.26372,248.06026,672515,596133,1
97,69.34886,103.23051,28.760542,151.04187,-73.090675,121.1857,-29.540188,150.79053,-128.55539,267.7693,12.531277,337.62762,139.89085,254.86916,666971,596133,1
98,70.72559,103.00743,33.624126,149.35054,-76.56948,116.73269,-26.958902,151.59454,-130.48282,274.32385,5.581456,341.06766,134.37636,265.88367,572233,596133,1
99,67.58532,103.44496,29.077284,150.94064,-71.07522,123.534225,-24.303156,152.33875,-125.36001,263.1044,10.247839,338.9061,137.51335,253.5466,502054,596133,1
100,79.25954,100.46431,45.86058,143.6974,-66.06239,128.76976,-15.26724,154.2652,-132.19876,251.12772,-9.681435,334.31723,140.67738,258.29352,606466,596133,0
101,76.66489,101.46,46.64753,143.25873,-68.287056,126.54452,-12.873617,154.62369,-127.13507,256.8481,1.7421122,330.72034,133.86015,258.58868,607054,596133,0
102,76.53713,101.50375,43.515152,144.9478,-66.10453,128.72897,-11.011778,154.85963,-139.28993,245.91504,-6.9157143,337.91046,132.41179,262.86578,677950,596133,0
103,75.40272,101.871376,42.935513,145.24399,-68.981674,125.81867,-17.991169,153.78085,-128.1278,254.09511,-9.022889,324.47095,126.886215,263.65634,595281,605280,0
104,75.92337,101.70729,39.395412,146.94653,-70.27595,124.42412,-22.153452,152.88086,-125.16712,250.16893,-0.44145206,328.55637,138.67355,254.74966,624415,543037,0
105,76.95655,101.358284,48.14754,142.39514,-65.580574,129.23273,-13.214259,154.57648,-131.11938,254.24979,-8.200161,333.54257,128.62625,262.68,687462,543037,0
106,76.50669,101.51411,38.31889,147.42908,-71.32589,123.25044,-20.958822,153.15921,-134.36153,259.39838,-3.0807016,335.30576,132.2218,254.21614,595281,641656,0
107,69.21503,103.24958,30.839048,150.35518,-75.12856,118.64378,-30.66393,150.41508,-124.392845,259.97086,-0.11069014,328.93976,132.73798,259.9793,672386,641656,1
108,62.221783,103.61485,21.229527,153.09756,-73.80831,120.31082,-28.513697,151.1199,-125.91094,252.54344,0.99323255,332.09918,132.54149,246.07938,593160,650633,1
109,75.45673,101.85472,39.85569,146.73529,-68.30639,126.52452,-20.069803,153.35582,-136.54439,251.87509,-3.8689337,332.90652,136.20125,255.0466,687462,650633,0
110,74.612885,102.105515,39.963272,146.68549,-69.45731,125.31267,-19.828655,153.40762,-133.71341,253.37814,-4.5084834,327.8379,123.8012,253.9559,595281,650633,0
111,74.793365,102.05357,38.221024,147.47214,-70.33192,124.36252,-22.939152,152.6889,-136.15971,251.82843,-7.510814,327.0714,132.82704,254.8522,595281,502083,0
112,75.54061,101.828674,34.614872,148.96927,-73.24269,121.00214,-25.437727,152.03099,-136.08812,255.17242,-8.111778,334.0501,131.34875,262.59082,624415,669711,0
113,68.46453,103.34797,29.956806,150.65314,-74.455124,119.503685,-32.91694,149.61496,-139.19441,260.50732,-5.8105483,324.96967,128.13821,257.53162,543807,669711,1
114,80.76039,99.79097,53.843918,138.7677,-65.1159,129.67311,-8.8096485,155.09064,-122.11042,250.58234,0.818688,317.97058,130.56213,255.40108,624415,598286,0
115,65.415596,103.60057,22.25603,152.8562,-74.78118,119.0899,-33.63195,149.34758,-129.75377,267.23306,14.665353,345.31906,134.84517,250.27956,665489,657376,1
116,76.464355,101.528465,40.65252,146.36252,-69.36062,125.41614,-18.275461,153.72557,-135.53862,256.0667,2.9347744,328.33127,133.14592,248.68925,595281,657376,0
117,66.91055,103.50607,26.201365,151.81532,-72.10557,122.35295,-28.106104,151.24716,-128.56868,266.07242,18.16659,339.67438,132.73776,250.0589,672386,657376,1
118,74.86509,102.03267,39.134212,147.06508,-64.60092,130.1543,-10.995219,154.86157,-122.2109,263.4162,16.539427,332.93268,132.33356,251.78156,666182,657376,1
119,67.70202,103.43321,22.92711,152.6919,-76.41248,116.94585,-36.089916,148.37785,-132.77728,267.66275,3.280933,332.12732,131.85347,253.72845,656305,657376,1
120,76.27367,101.592476,43.808636,144.79593,-68.79519,126.01505,-18.58033,153.66528,-128.51242,247.69395,6.308303,325.76254,143.05981,253.49666,662139,657376,0
121,64.40802,103.63263,21.427021,153.05206,-75.387856,118.30719,-34.089916,149.17287,-133.91814,263.79895,-5.8539624,331.21768,122.39134,253.98093,676914,657376,1
122,78.100266,100.934784,46.49334,143.34546,-66.51334,128.33049,-12.319388,154.69785,-120.9073,255.78307,9.325126,321.75458,141.80576,251.89302,624415,657376,0
123,76.962944,101.35603,40.010628,146.66351,-66.25723,128.58069,-16.09241,154.1271,-136.92091,259.63495,-3.1691082,334.07852,135.0787,254.72775,669261,681190,0
124,78.05976,100.950455,41.6913,145.86298,-70.04513,124.67694,-20.817595,153.19104,-128.61113,257.31006,7.047022,336.25006,136.55376,262.84866,641943,681190,0
125,72.666565,102.6082,39.731953,146.79236,-67.58914,127.25858,-15.659984,154.20041,-126.53628,266.2604,10.153433,330.82565,139.78052,247.03448,663647,681190,1
126,71.5104,102.85806,28.065918,151.2596,-76.25026,117.164795,-34.36501,149.06662,-135.54416,260.59,14.355474,330.0721,131.67654,250.11887,669707,607074,1
127,68.09762,103.39085,25.217566,152.09189,-74.52781,119.41185,-30.526705,150.46176,-123.063095,262.49207,20.530354,334.3051,133.8286,244.90498,656582,607074,1
128,71.03612,102.95027,34.936672,148.84268,-74.60757,119.31081,-27.740177,151.35968,-128.08704,263.65265,5.910806,331.74304,144.11787,252.17668,678894,607074,1
129,76.2342,101.60559,46.58801,143.29225,-68.98593,125.81418,-16.166454,154.11435,-126.213745,264.72763,4.2186265,332.6794,127.57192,258.92328,669261,607074,0
130,69.89274,103.14827,28.200447,151.2179,-75.109184,118.66881,-29.209913,150.8979,-128.34573,263.46887,21.631699,339.1093,145.45749,250.05109,609280,607074,1
131,76.212395,101.61281,38.828743,147.20253,-72.45427,121.94411,-14.523301,154.3833,-120.62959,266.1699,16.333698,337.84497,148.28555,254.1786,663647,607074,1
132,78.07783,100.94347,44.55234,144.40524,-68.39767,126.42996,-18.314144,153.71799,-133.16064,261.9629,-9.779725,335.96475,124.02577,260.52185,682848,605280,0
133,77.49031,101.16557,45.93804,143.65466,-69.29336,125.48794,-13.422351,154.54701,-133.8205,265.1387,-2.7656636,340.72885,132.18173,262.95383,669261,605280,0
134,68.35178,103.36152,28.808666,151.02658,-71.745094,122.770706,-26.851192,151.62636,-124.92044,264.9137,14.896435,327.7588,140.85205,253.6906,663647,641656,1
135,74.494095,102.139206,35.756336,148.51411,-70.64263,124.01865,-21.06639,153.1348,-141.04875,248.33598,-18.301165,333.68854,123.84078,261.2617,678225,641656,0
136,70.472664,103.0521,28.536413,151.11276,-70.11424,124.60143,-26.227442,151.80783,-136.97905,250.97542,-15.533791,334.55194,120.63774,261.0565,663845,666745,0
137,71.04186,102.94919,34.65291,148.95438,-71.334114,123.2411,-23.682724,152.5007,-136.64406,257.2713,-10.385411,336.15973,125.439644,268.55212,641943,666745,0
138,76.410736,101.54656,45.293915,144.00726,-70.72677,123.92496,-18.313059,153.7182,-129.7545,247.57936,-5.7378087,328.28195,124.96965,267.85556,682848,666745,0
139,74.29764,102.194046,35.295193,148.70004,-71.16705,123.43053,-19.429249,153.49196,-129.34805,254.97078,-13.112808,336.6536,138.50085,266.63293,669261,666745,0
140,71.80664,102.797455,34.309513,149.08813,-68.853035,125.95426,-19.342518,153.51004,-125.08514,270.50772,4.7890043,332.64417,141.62547,251.06967,663647,666745,1
141,69.84698,103.15549,25.0848,152.12834,-74.56994,119.35852,-33.001476,149.58368,-135.60927,251.07448,-8.636626,337.18674,125.56479,265.3914,678225,666745,0
142,69.51704,103.2059,28.943184,150.98364,-72.86854,121.452255,-22.425543,152.81519,-125.991394,268.60382,23.255423,336.2261,142.3146,246.08443,678894,596133,1
143,69.16934,103.25598,31.756296,150.03513,-74.05948,119.99953,-25.444063,152.02924,-125.432785,263.07184,15.626389,339.24176,142.19789,247.41034,663647,596133,1
144,77.74501,101.07059,43.156685,145.13156,-65.448135,129.35886,-12.679359,154.65005,-137.58554,258.59567,-9.455954,333.2262,123.09889,262.7455,663845,596133,0
145,76.32405,101.57567,39.87549,146.72614,-70.24199,124.461426,-16.5281,154.05118,-138.17986,255.2341,-5.413943,337.04877,124.44422,251.13857,663845,605280,0
146,76.04517,101.66777,43.966103,144.7139,-60.91745,133.39764,-6.9824896,155.24304,-122.13402,257.4805,7.699187,326.73633,130.14441,250.87216,663647,605280,1
147,68.002396,103.4014,25.31485,152.06505,-74.755646,119.12247,-32.11673,149.90646,-138.27582,268.45993,5.329361,335.35574,131.41452,250.51653,668804,598286,1
148,72.21791,102.70941,32.837433,149.64429,-70.6362,124.0258,-22.308279,152.8436,-134.11058,253.92456,-6.147149,326.75565,124.81383,256.54688,678225,598286,0
149,71.866974,102.78481,26.304869,151.78555,-75.430466,118.25158,-35.252617,148.71707,-138.61046,266.13022,-3.8856912,331.98468,135.2279,259.49414,678894,598286,1
150,69.98602,103.13339,32.067078,149.92429,-69.34556,125.43223,-20.375595,153.2892,-125.7856,262.57852,10.219326,330.60797,141.10016,248.33794,609280,502083,1
151,77.32628,101.2257,48.722633,142.0543,-68.89637,125.908646,-19.102427,153.55965,-133.62189,257.67584,4.8526855,330.8773,141.95654,250.51413,682848,502083,0
152,67.44755,103.458374,20.889656,153.17482,-77.841354,114.958466,-41.35096,146.02835,-136.97203,262.6399,0.88549846,335.38678,130.31036,253.90707,682848,664948,1
153,71.313576,102.89705,35.05241,148.79681,-70.06793,124.652054,-22.52582,152.79077,-121.876114,258.3021,11.228049,332.91592,141.85614,248.74835,656582,543037,1
154,76.49941,101.51658,44.341644,144.51677,-66.45412,128.38852,-16.172697,154.11327,-138.67953,256.7818,-9.653406,337.02847,132.6498,259.5582,669261,543037,0
155,71.28548,102.90253,36.79284,148.08588,-64.789215,129.97919,-12.185655,154.71524,-123.12207,265.65826,20.19385,330.48914,143.7348,249.97404,663647,543037,1
156,68.6387,103.32643,30.397947,150.50536,-70.85371,123.78311,-29.510891,150.8001,-126.91532,267.74298,7.032354,340.60153,146.615,249.24783,678894,543037,1
157,77.37488,101.20797,46.406624,143.39407,-69.85132,124.88784,-14.178001,154.43607,-127.88864,253.49858,-13.743599,331.67117,139.5239,252.85033,682848,543037,0
158,78.00105,100.9731,47.199936,142.94493,-68.45585,126.369545,-9.798771,154.9933,-132.04094,259.6253,-8.620587,340.48578,131.94844,258.2531,641943,543037,0
159,79.2434,100.47115,51.40101,140.39328,-60.492596,133.75058,-4.961569,155.37035,-131.88805,268.17163,-5.7013917,339.50015,131.48724,257.12613,677800,621199,0
160,79.2393,100.472885,51.638393,140.24005,-68.18142,126.65357,-7.01074,155.24097,-129.50998,253.2532,-4.5869293,342.37958,142.96786,255.82262,671213,621199,0
161,66.96224,103.5018,29.235193,150.88974,-72.6648,121.69499,-28.53438,151.1134,-127.753586,269.61557,4.2335505,326.76062,125.70991,244.27562,457759,621199,1
162,77.60655,101.12247,44.3995,144.48622,-69.396164,125.378136,-14.552965,154.37871,-143.75705,264.47552,-11.142723,340.1789,133.66466,256.01288,646240,669711,0
163,63.52204,103.639824,20.822506,153.18994,-73.714645,120.426216,-31.641062,150.0759,-139.29518,266.4129,-0.74520844,330.48724,126.18624,257.82544,657136,669711,1
164,72.618385,102.61934,39.33674,146.97324,-68.443146,126.382744,-20.236149,153.3197,-133.97897,257.5331,-8.345443,347.0512,129.12726,257.2967,677800,669711,0
165,78.40707,100.81436,43.96822,144.7128,-67.88596,126.95673,-16.243412,154.10103,-136.7331,261.441,-6.9132743,332.9703,139.83998,255.35167,671213,669711,0
